N_EXTRA_TASKS,TASK,TRAIN_LOSS,VAL_LOSS,TRAIN_MAE,TEST_MAE,TEST_bias,TEST_eacf,TEST_eacf10
11,PHL_CHN_IDN_IND_JPN_MMR_MYS_PAK_SGP_THA_TWN_VNM,0.0012526454229373485,0.005869744345545769,6.248359899691285,17.90089132651859,0.010735769756138325,-0.2702020850468621,1.7666830440838013
16,PHL_AUS_CHN_HKG_IDN_IND_JPN_KOR_MMR_MYS_NZL_PAK_QAT_SGP_THA_USA_VNM,0.0013170746969990432,0.005344472359865904,4.22827935006758,19.101097497512967,0.015662487596273422,-0.07185412602128086,1.3659680521836939
8,PHL_AUS_IND_JPN_NZL_PAK_QAT_SGP_TWN,0.0012077789288014174,0.00937946978956461,11.485520492992327,19.411330901895415,0.0190568957477808,0.1224375799578675,1.2969438262178439
13,PHL_AUS_CHN_HKG_IDN_IND_KOR_MMR_MYS_NZL_QAT_TWN_USA_VNM,0.0017943422426469624,0.004107317421585321,11.616025114970622,21.343714782900562,0.0220676027238369,0.2784718639256447,1.3762622381411407
7,PHL_IDN_JPN_MMR_QAT_THA_TWN_VNM,0.0017439549847040325,0.005592872854322195,8.786576640435834,22.402794830345886,0.0384797602891922,0.05414924786693944,1.47165983608304
8,PHL_AUS_CHN_HKG_IDN_QAT_SGP_THA_VNM,0.0013695759407710284,0.0033813943155109882,7.47743354762883,23.303409157806502,0.0072251358069479465,0.18345900300859116,1.2056863847461754
10,PHL_AUS_HKG_IDN_IND_JPN_KOR_NZL_PAK_QAT_THA,0.0017082827689591795,0.00910923257470131,8.07749740408154,24.357762011054763,0.049380745738744736,-0.11073441706730193,1.5260749400955644
15,PHL_AUS_CHN_HKG_IDN_IND_JPN_MMR_NZL_PAK_QAT_SGP_THA_TWN_USA_VNM,0.001148459588875994,0.003785568755120039,5.878223034422166,24.877937620912352,0.04637156054377556,-0.05822667220898789,1.260008395391113
15,PHL_AUS_CHN_HKG_IDN_JPN_KOR_MMR_MYS_NZL_PAK_QAT_SGP_THA_TWN_USA,0.0012843973527196795,0.0061349645256996155,9.577015866878789,25.833101079383436,0.046830225735902786,0.21593089342001523,1.2630101868713106
16,PHL_AUS_CHN_HKG_IDN_IND_JPN_MMR_MYS_NZL_PAK_QAT_SGP_THA_TWN_USA_VNM,0.001499286066973582,0.006503287702798843,10.919382614669416,26.562201844749893,0.009507612325251102,0.22758516107556193,1.283241523549364
16,PHL_AUS_CHN_HKG_IDN_IND_JPN_KOR_MMR_MYS_NZL_PAK_QAT_SGP_TWN_USA_VNM,0.0013876176089979708,0.005541303660720587,10.135315241071646,26.564123553291218,0.028522973880171776,0.2505159874998692,1.2431209427278753
5,PHL_IND_JPN_MMR_QAT_USA,0.0011122295400127769,0.005843043327331543,7.598073850212058,26.730258296783607,0.013460108079016209,0.1560826165118265,1.3257680712262412
10,PHL_AUS_IDN_IND_MMR_MYS_NZL_PAK_SGP_THA_VNM,0.001604906196007505,0.005416464526206255,8.75156097918033,26.7420587786989,-0.022638758644461632,0.06264974629000855,1.2348914161113997
12,PHL_AUS_CHN_HKG_KOR_MMR_MYS_NZL_PAK_SGP_THA_TWN_VNM,0.0014567578909918666,0.005091490224003792,5.5139097304253095,27.2100853972007,0.03838474303483963,0.21467288516420496,1.2431823681560619
9,PHL_CHN_IDN_IND_JPN_KOR_MYS_NZL_PAK_QAT,0.001275914051802829,0.005992308724671602,6.601868099515696,27.840375704884877,0.051705680787563324,0.14800212097896323,1.2930666579974643
17,PHL_AUS_CHN_HKG_IDN_IND_JPN_KOR_MMR_MYS_NZL_PAK_QAT_SGP_THA_TWN_USA_VNM,0.001325439487118274,0.006031380500644445,5.206619722794127,28.127492103995554,0.04135743901133537,0.09366312201734238,1.1681334707839262
4,PHL_JPN_MMR_PAK_QAT,0.0012615197629202157,0.009643374010920525,6.838367763847802,28.47958915203754,0.03584624454379082,0.25970382366381545,1.3667397627862687
15,PHL_CHN_HKG_IDN_IND_JPN_KOR_MMR_MYS_NZL_PAK_SGP_THA_TWN_USA_VNM,0.002023114124312997,0.006702428683638573,11.531968714490665,29.64833433174468,0.03330402821302414,0.5494034408626405,1.6839072587579482
12,PHL_AUS_CHN_IDN_JPN_KOR_MMR_NZL_QAT_SGP_TWN_USA_VNM,0.0016694928926881403,0.005956847686320543,11.779620069706366,29.75864863176877,0.07675326615571976,0.21848164778685086,1.3314434939608748
16,PHL_AUS_CHN_HKG_IDN_IND_JPN_KOR_MMR_MYS_NZL_QAT_SGP_THA_TWN_USA_VNM,0.001228214823640883,0.005873821210116148,6.156357520070513,30.46560276562352,0.045646313577890396,0.540748177929201,1.629373652403998
